Date,Up or Down,Weather
2022-10-31,-48.6,Partially cloudy
2022-11-01,43.68,"Rain, Partially cloudy"
2022-11-02,-292.86,Partially cloudy
2022-11-03,-42.18,Partially cloudy
2022-11-04,247.1,"Rain, Overcast"
2022-11-07,105.86,Partially cloudy
2022-11-08,80.67,Partially cloudy
2022-11-09,-301.54,Partially cloudy
2022-11-10,646.96,Partially cloudy
2022-11-11,117.97,"Rain, Partially cloudy"
2022-11-14,-91.45,"Rain, Overcast"
2022-11-15,-64.1,Partially cloudy
2022-11-16,-115.75,Partially cloudy
2022-11-17,133.88,Partially cloudy
2022-11-18,-4.67,"Rain, Overcast"
2022-11-21,-31.51,"Rain, Overcast"
2022-11-22,203.5,"Rain, Overcast"
2022-11-23,63.76,Partially cloudy
2022-11-25,60.15,"Rain, Partially cloudy"
2022-11-28,-235.23,Partially cloudy
2022-11-29,63.02,"Rain, Overcast"
2022-11-30,346.56,Partially cloudy
2022-12-01,-18.9,Partially cloudy
2022-12-02,5.9,Overcast
2022-12-05,-292.23,Partially cloudy
2022-12-06,-146.33,Partially cloudy
2022-12-07,-16.65,"Rain, Partially cloudy"
2022-12-08,88.15,Partially cloudy
2022-12-09,-108.89,Partially cloudy
2022-12-12,177.62,"Rain, Overcast"
2022-12-13,93.87,"Rain, Overcast"
2022-12-14,-67.56,"Rain, Partially cloudy"
2022-12-15,-312.7,Clear
2022-12-16,-164.11,"Rain, Partially cloudy"
2022-12-19,-80.14,"Rain, Overcast"
2022-12-20,62.59,"Rain, Partially cloudy"
2022-12-21,218.93,Partially cloudy
2022-12-22,-138.02,Overcast
2022-12-23,106.92,Partially cloudy
2022-12-27,29.81,Clear
2022-12-28,-180.94,Partially cloudy
2022-12-29,203.89,"Rain, Overcast"
2022-12-30,-56.9,"Rain, Partially cloudy"
2023-01-03,-29.86,"Rain, Partially cloudy"
2023-01-04,195.85,Partially cloudy
2023-01-05,-124.9,Partially cloudy
2023-01-06,314.34,Partially cloudy
2023-01-09,-25.3,Partially cloudy
2023-01-10,93.73,Partially cloudy
2023-01-11,140.92,Partially cloudy
2023-01-12,110.46,"Rain, Partially cloudy"
2023-01-13,58.82,Clear
2023-01-17,-34.81,Partially cloudy
2023-01-18,-234.43,"Rain, Partially cloudy"
2023-01-19,-79.5,Partially cloudy
2023-01-20,207.92,"Rain, Overcast"
2023-01-23,102.54,Partially cloudy
2023-01-24,-11.87,"Rain, Partially cloudy"
2023-01-25,21.05,Partially cloudy
2023-01-26,96.6,Clear
2023-01-27,-23.29,Partially cloudy
2023-01-30,-143.68,"Rain, Overcast"
2023-01-31,217.49,"Rain, Overcast"
2023-02-01,84.86,"Rain, Overcast"
2023-02-02,1.33,"Rain, Overcast"
2023-02-03,-123.18,Partially cloudy
2023-02-06,-104.04,Partially cloudy
2023-02-07,126.26,Overcast
2023-02-08,-86.9,"Rain, Partially cloudy"
2023-02-09,-106.12,Partially cloudy
2023-02-10,82.09,Partially cloudy
2023-02-13,141.56,Partially cloudy
2023-02-14,-27.14,"Rain, Partially cloudy"
2023-02-15,-9.02,Overcast
2023-02-16,-142.31,"Rain, Overcast"
2023-02-17,-33.62,Partially cloudy
2023-02-21,-267.64,Overcast
2023-02-22,-41.69,"Rain, Partially cloudy"
2023-02-23,54.1,Overcast
2023-02-24,-120.47,Overcast
2023-02-27,28.47,Partially cloudy
2023-02-28,-63.96,Partially cloudy
2023-03-01,7.33,Partially cloudy
2023-03-02,88.22,"Rain, Partially cloudy"
2023-03-03,196.54,"Rain, Partially cloudy"
2023-03-06,-26.72,Partially cloudy
2023-03-07,-255.32,Overcast
2023-03-08,1.62,Partially cloudy
2023-03-09,-299.85,Partially cloudy
2023-03-10,-246.61,"Rain, Partially cloudy"
2023-03-13,-129.81,Partially cloudy
2023-03-14,180.37,Partially cloudy
2023-03-15,-282.19,Partially cloudy
2023-03-16,168.43,"Rain, Overcast"
2023-03-17,-231.94,"Rain, Partially cloudy"
2023-03-20,178.65,Partially cloudy
2023-03-21,208.25,Overcast
2023-03-22,-244.87,Overcast
2023-03-23,-48.06,Overcast
2023-03-24,65.55,"Rain, Partially cloudy"
2023-03-27,136.28,Overcast
2023-03-28,54.5,"Rain, Partially cloudy"
2023-03-29,174.61,"Rain, Overcast"
2023-03-30,76.63,Overcast
2023-03-31,174.32,Partially cloudy
2023-04-03,112.85,Overcast
2023-04-04,-113.64,Overcast
2023-04-05,-5.85,"Rain, Overcast"
2023-04-06,10.87,"Rain, Overcast"
2023-04-10,48.05,Partially cloudy
2023-04-11,93.74,Partially cloudy
2023-04-12,-19.99,"Rain, Partially cloudy"
2023-04-13,129.96,Partially cloudy
2023-04-14,-29.11,Partially cloudy
2023-04-17,66.56,Partially cloudy
2023-04-18,16.62,"Rain, Partially cloudy"
2023-04-19,-31.34,Partially cloudy
2023-04-20,-70.68,Overcast
2023-04-21,-4.01,"Rain, Partially cloudy"
2023-04-24,27.78,Overcast
2023-04-25,-243.18,Partially cloudy
2023-04-26,-134.95,"Rain, Overcast"
2023-04-27,203.06,"Rain, Partially cloudy"
2023-04-28,114.24,"Rain, Partially cloudy"
2023-05-01,-9.99,Clear
2023-05-02,-221.0,Partially cloudy
2023-05-03,-80.72,Partially cloudy
2023-05-04,-116.18,Overcast
2023-05-05,263.2,Partially cloudy
2023-05-08,10.4,"Rain, Partially cloudy"
2023-05-09,-38.46,"Rain, Partially cloudy"
2023-05-10,-3.64,"Rain, Overcast"
2023-05-11,-86.1,Partially cloudy
2023-05-12,-16.71,"Rain, Partially cloudy"
2023-05-15,76.2,"Rain, Partially cloudy"
2023-05-16,-193.31,"Rain, Partially cloudy"
2023-05-17,184.67,Partially cloudy
2023-05-18,31.51,Partially cloudy
2023-05-19,-21.11,Partially cloudy
2023-05-22,-5.47,Partially cloudy
2023-05-23,-146.58,Partially cloudy
2023-05-24,-149.38,Partially cloudy
2023-05-25,-46.92,Partially cloudy
2023-05-26,102.72,Partially cloudy
2023-05-30,-84.05,"Rain, Partially cloudy"
2023-05-31,-107.5,"Rain, Partially cloudy"
2023-06-01,143.95,Partially cloudy
2023-06-02,314.1,"Rain, Partially cloudy"
2023-06-05,-69.98,"Rain, Partially cloudy"
2023-06-06,116.59,"Rain, Partially cloudy"
2023-06-07,77.83,"Rain, Partially cloudy"
2023-06-08,33.01,"Rain, Partially cloudy"
2023-06-09,-2.73,Partially cloudy
2023-06-12,48.56,Partially cloudy
2023-06-13,119.32,Partially cloudy
2023-06-14,-25.06,Partially cloudy
2023-06-15,183.62,Partially cloudy
2023-06-16,-31.23,Partially cloudy
2023-06-20,-146.2,Partially cloudy
2023-06-21,8.08,"Rain, Partially cloudy"
2023-06-22,-56.3,"Rain, Partially cloudy"
2023-06-23,-131.35,"Rain, Partially cloudy"
2023-06-26,49.39,Partially cloudy
2023-06-27,127.94,Partially cloudy
2023-06-28,-29.32,Partially cloudy
2023-06-29,120.02,Clear
2023-06-30,138.53,Clear
2023-07-03,42.59,Partially cloudy
2023-07-05,-82.97,"Rain, Partially cloudy"
2023-07-06,-193.86,"Rain, Partially cloudy"
2023-07-07,29.96,"Rain, Partially cloudy"
2023-07-10,77.24,Partially cloudy
2023-07-11,148.44,Partially cloudy
2023-07-12,113.97,Partially cloudy
2023-07-13,95.57,Partially cloudy
2023-07-14,-66.62,Partially cloudy
2023-07-17,13.94,Clear
2023-07-18,102.34,Partially cloudy
2023-07-19,74.43,Partially cloudy
2023-07-20,32.77,Partially cloudy
2023-07-21,25.41,Partially cloudy
2023-07-24,80.02,Partially cloudy
2023-07-25,16.03,"Rain, Partially cloudy"
2023-07-26,33.03,Clear
2023-07-27,-147.61,Clear
2023-07-28,92.66,"Rain, Partially cloudy"
2023-07-31,64.03,Partially cloudy
2023-08-01,-70.78,Partially cloudy
2023-08-02,-181.97,Partially cloudy
2023-08-03,-49.12,Clear
2023-08-04,-54.36,Partially cloudy
2023-08-07,137.17,Partially cloudy
2023-08-08,-31.88,Partially cloudy
2023-08-09,-40.58,Partially cloudy
2023-08-10,-0.55,Partially cloudy
2023-08-11,8.16,Partially cloudy
2023-08-14,-27.33,Partially cloudy
2023-08-15,-204.74,Partially cloudy
2023-08-16,-93.2,Partially cloudy
2023-08-17,-83.73,Partially cloudy
2023-08-18,15.79,Partially cloudy
2023-08-21,-3.96,Partially cloudy
2023-08-22,-55.93,"Rain, Partially cloudy"
2023-08-23,132.99,Partially cloudy
2023-08-24,-140.26,"Rain, Partially cloudy"
2023-08-25,83.9,Partially cloudy
2023-08-28,112.68,Partially cloudy
2023-08-29,161.9,Partially cloudy
2023-08-30,32.73,Clear
2023-08-31,-73.85,Partially cloudy
2023-09-01,91.42,Partially cloudy
2023-09-05,-149.31,"Rain, Partially cloudy"
2023-09-06,-50.95,Partially cloudy
2023-09-07,-27.34,Partially cloudy
2023-09-08,14.8,Clear
2023-09-11,70.45,Partially cloudy
2023-09-12,4.47,Partially cloudy
2023-09-13,-27.27,Partially cloudy
2023-09-14,162.84,"Rain, Partially cloudy"
2023-09-15,-115.8,"Rain, Partially cloudy"
2023-09-18,-21.16,Partially cloudy
2023-09-19,-23.51,Partially cloudy
2023-09-20,-69.39,Partially cloudy
2023-09-21,-258.02,Partially cloudy
2023-09-22,-32.09,Partially cloudy
2023-09-25,24.22,"Rain, Partially cloudy"
2023-09-26,-212.15,Partially cloudy
2023-09-27,13.11,"Rain, Partially cloudy"
2023-09-28,83.38,Partially cloudy
2023-09-29,-79.86,Partially cloudy
2023-10-02,-168.2,Partially cloudy
2023-10-03,-186.59,"Rain, Overcast"
2023-10-04,21.3,"Rain, Overcast"
2023-10-05,2.08,"Rain, Partially cloudy"
2023-10-06,141.12,Clear
2023-10-09,104.06,Partially cloudy
2023-10-10,132.16,Partially cloudy
2023-10-11,37.54,"Rain, Partially cloudy"
2023-10-12,-158.23,Partially cloudy
2023-10-13,-5.85,Partially cloudy
2023-10-16,160.8,Clear
2023-10-17,56.88,Clear
2023-10-18,-216.42,Partially cloudy
2023-10-19,-128.59,Partially cloudy
2023-10-20,-163.06,Clear
2023-10-23,-87.3,"Rain, Partially cloudy"
2023-10-24,79.75,Partially cloudy
2023-10-25,-111.64,Partially cloudy
2023-10-26,-55.42,"Rain, Overcast"
2023-10-27,-182.92,"Rain, Partially cloudy"
2023-10-30,150.11,"Rain, Overcast"
